City,Date,PM2_5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI_Bucket
Bengaluru,04-12-2018,25.83,74.27,15.31,26.42,34.03,18.98,0.89,5.86,24.11,0.6,2.02,8.82,Satisfactory
Bengaluru,05-12-2018,51.43,64.2,13.6,23.94,30.8,18.26,0.87,5.69,26.63,0.62,1.85,8.82,Moderate
Bengaluru,06-12-2018,29.32,81.35,13.52,29.76,33.09,17.66,0.9,6.47,35.15,0.58,2.1,8.82,Satisfactory
Bengaluru,07-12-2018,37.49,150.02,16.07,31.25,34.16,17.51,0.93,5.9,33.42,0.61,2.26,8.82,Satisfactory
Bengaluru,08-12-2018,61.0,98.66,9.36,33.48,28.09,15.46,0.78,5.86,52.77,0.64,1.87,8.82,Moderate
Bengaluru,09-12-2018,63.28,110.14,5.87,23.23,19.92,11.87,0.75,7.38,80.57,0.6,1.61,8.82,Moderate
Bengaluru,10-12-2018,75.78,137.41,9.79,30.66,31.44,15.23,1.04,5.77,76.51,0.61,2.29,8.82,Moderate
Bengaluru,11-12-2018,88.98,177.97,12.13,38.55,39.46,20.08,1.08,5.94,69.85,0.7,2.86,8.82,Moderate
Bengaluru,12-12-2018,78.59,142.62,11.17,40.02,39.8,19.75,1.05,6.32,66.64,0.85,2.8,8.82,Moderate
Bengaluru,13-12-2018,67.36,103.83,10.53,36.8,37.08,19.05,1.03,6.32,59.79,0.91,2.45,8.82,Moderate
Bengaluru,14-12-2018,48.45,84.47,12.96,36.41,38.05,18.13,0.97,6.57,50.06,0.82,2.25,8.82,Moderate
Bengaluru,15-12-2018,47.62,81.06,15.51,35.48,39.72,18.23,0.96,6.24,48.1,0.77,2.16,8.82,Satisfactory
Bengaluru,16-12-2018,64.42,109.67,13.08,40.02,38.75,16.93,0.98,6.45,73.64,0.74,2.09,8.82,Moderate
Bengaluru,17-12-2018,86.94,140.52,39.83,54.92,76.09,18.74,1.29,7.69,51.64,1.11,2.73,8.82,Moderate
Bengaluru,18-12-2018,98.84,181.41,60.14,63.57,106.26,24.42,1.72,5.98,38.34,1.46,5.51,8.82,Poor
Bengaluru,19-12-2018,61.84,132.37,15.76,47.79,47.55,21.56,1.11,6.12,57.86,0.86,2.9,8.82,Moderate
Bengaluru,20-12-2018,45.7,105.66,11.87,35.34,35.33,19.31,0.83,6.04,64.96,0.78,2.43,8.82,Moderate
Bengaluru,21-12-2018,51.63,106.8,22.16,38.9,48.19,18.56,0.99,5.88,56.78,0.87,2.56,8.82,Moderate
Bengaluru,22-12-2018,42.57,93.24,12.09,35.19,35.22,17.98,0.91,6.01,41.65,0.75,2.47,8.82,Moderate
Bengaluru,23-12-2018,37.34,86.46,9.1,23.96,25.68,16.35,0.82,4.98,46.25,0.67,2.01,8.82,Satisfactory
Bengaluru,24-12-2018,43.13,85.68,10.4,27.87,29.5,15.77,0.85,5.33,41.44,0.75,1.9,8.82,Satisfactory
Bengaluru,25-12-2018,57.89,102.48,10.72,33.44,33.96,16.55,0.93,5.24,54.0,0.82,2.16,8.82,Moderate
Bengaluru,26-12-2018,59.38,100.47,10.07,33.7,33.88,16.61,1.01,5.27,55.22,0.71,1.95,8.82,Moderate
Bengaluru,27-12-2018,57.28,107.8,12.41,31.17,34.5,16.37,0.9,5.67,55.3,0.38,1.66,8.82,Moderate
Bengaluru,28-12-2018,68.37,111.01,9.44,31.77,32.0,17.22,0.91,6.12,57.62,0.37,1.31,8.82,Moderate
Bengaluru,29-12-2018,65.81,106.31,11.15,31.32,32.97,17.7,0.89,6.07,47.62,0.28,1.11,8.82,Moderate
Bengaluru,30-12-2018,64.29,100.07,8.74,28.97,27.6,16.0,0.85,5.34,64.73,0.24,0.9,8.82,Moderate
Bengaluru,31-12-2018,63.77,107.44,15.48,37.46,40.95,16.72,1.02,7.25,55.18,0.39,1.44,8.82,Moderate
Bengaluru,01-01-2019,61.55,107.76,14.75,38.19,41.3,17.97,0.98,8.29,56.91,0.33,1.24,8.82,Moderate
Bengaluru,02-01-2019,47.27,92.47,12.94,39.73,41.65,20.45,1.06,10.22,51.25,0.32,1.25,8.82,Moderate
Bengaluru,03-01-2019,48.86,96.42,16.74,46.55,51.87,29.72,1.01,8.15,46.4,0.4,1.66,8.82,Moderate
Bengaluru,04-01-2019,51.35,105.52,17.37,45.87,50.21,24.95,1.09,5.76,41.42,0.53,1.66,8.82,Moderate
Bengaluru,05-01-2019,46.57,99.1,15.87,41.74,44.4,18.17,1.03,6.13,50.61,0.39,1.22,8.82,Moderate
Bengaluru,06-01-2019,56.8,105.51,9.68,35.73,36.84,22.58,0.89,6.36,64.29,0.31,1.17,8.82,Moderate
Bengaluru,07-01-2019,58.29,116.5,15.59,44.9,48.97,26.01,1.05,7.13,55.51,0.32,1.25,8.82,Moderate
Bengaluru,08-01-2019,60.04,106.76,19.73,49.33,56.53,26.12,1.06,7.64,47.42,0.39,1.56,8.82,Moderate
Bengaluru,09-01-2019,62.6,113.27,17.76,52.68,55.76,25.66,1.05,7.01,54.54,0.41,1.43,8.82,Moderate
Bengaluru,10-01-2019,63.63,108.49,12.78,53.48,53.27,30.88,0.94,5.88,56.23,0.28,0.71,8.82,Moderate
Bengaluru,11-01-2019,59.52,111.13,14.65,49.16,51.67,29.43,1.01,5.79,57.02,0.29,1.08,8.82,Moderate
Bengaluru,12-01-2019,70.5,121.91,14.05,49.28,50.62,28.56,1.04,5.73,61.7,0.37,1.36,8.82,Moderate
Bengaluru,13-01-2019,54.44,99.59,10.6,42.99,43.65,27.09,0.93,5.47,65.16,0.36,1.1,8.82,Moderate
Bengaluru,14-01-2019,58.36,110.39,14.18,47.07,48.49,26.18,1.02,4.93,50.93,0.39,1.33,8.82,Moderate
Bengaluru,15-01-2019,47.13,86.88,16.17,46.93,48.92,21.74,0.85,5.28,55.78,0.28,1.25,8.82,Moderate
Bengaluru,16-01-2019,62.4,99.49,10.64,48.15,44.5,24.59,0.98,5.05,69.72,0.39,1.42,8.82,Moderate
Bengaluru,17-01-2019,67.83,120.55,15.74,42.88,48.8,23.07,1.09,5.74,53.81,0.49,2.1,8.82,Moderate
Bengaluru,18-01-2019,75.06,118.41,7.81,34.15,32.16,14.87,1.02,5.35,54.41,0.37,1.57,8.82,Moderate
Bengaluru,19-01-2019,59.01,102.34,7.41,36.98,33.38,17.08,0.94,5.07,46.91,0.32,1.43,8.82,Moderate
Bengaluru,20-01-2019,42.33,82.67,5.69,32.59,27.7,14.47,0.79,5.2,63.97,0.24,1.14,8.82,Moderate
Bengaluru,21-01-2019,52.05,99.24,6.26,37.39,31.71,15.56,0.92,5.32,67.06,0.31,1.28,8.82,Moderate
Bengaluru,22-01-2019,72.45,136.15,18.68,42.87,46.61,17.27,1.06,5.06,72.89,1.27,3.27,8.82,Moderate
Bengaluru,23-01-2019,60.91,121.85,11.95,42.79,40.52,16.95,1.04,5.42,67.41,0.32,1.72,8.82,Moderate
Bengaluru,24-01-2019,50.66,109.76,7.08,33.87,28.82,15.78,0.87,4.97,61.46,0.26,1.35,8.82,Moderate
Bengaluru,25-01-2019,35.76,87.96,7.16,31.94,28.37,14.75,0.84,4.79,56.81,0.24,1.35,8.82,Moderate
Bengaluru,26-01-2019,51.09,101.59,7.25,30.06,29.19,15.32,0.87,5.27,52.2,0.23,1.19,8.82,Moderate
Bengaluru,27-01-2019,40.56,87.62,5.89,26.0,24.5,14.06,0.8,5.16,55.36,0.2,1.03,8.82,Moderate
Bengaluru,28-01-2019,38.48,73.19,7.95,26.16,24.72,12.92,0.73,4.12,53.78,0.26,1.13,8.82,Satisfactory
Bengaluru,29-01-2019,29.81,62.01,9.41,29.22,28.59,12.84,0.88,4.91,47.64,0.22,0.99,8.82,Satisfactory
Bengaluru,30-01-2019,62.71,92.31,12.46,35.51,34.7,13.12,1.01,4.8,59.22,1.14,3.64,8.82,Moderate
Bengaluru,31-01-2019,48.44,94.63,8.55,33.94,30.45,13.75,0.88,5.45,67.58,2.3,8.12,8.82,Moderate
Bengaluru,01-02-2019,49.67,99.62,9.15,37.21,33.41,14.68,0.87,5.35,63.66,1.09,3.19,8.82,Moderate
Bengaluru,02-02-2019,45.32,96.87,9.15,34.78,30.75,14.41,0.82,5.01,61.35,0.45,1.6,8.82,Moderate
Bengaluru,03-02-2019,39.5,87.56,6.69,28.58,24.55,13.75,0.8,4.58,64.91,0.4,1.28,8.82,Moderate
Bengaluru,04-02-2019,32.91,70.95,9.19,27.77,25.35,13.82,0.82,4.6,49.04,0.4,1.24,8.82,Satisfactory
Bengaluru,05-02-2019,37.93,82.59,6.98,29.41,24.42,13.77,0.86,4.54,65.7,0.41,1.23,8.82,Satisfactory
Bengaluru,06-02-2019,60.08,115.27,10.06,38.44,33.98,14.13,0.88,5.81,78.02,0.45,1.37,8.82,Moderate
Bengaluru,07-02-2019,51.88,117.29,6.9,36.87,31.49,15.02,0.94,5.3,73.99,0.49,1.65,8.82,Moderate
Bengaluru,08-02-2019,54.76,108.3,5.51,30.73,25.96,15.13,0.85,5.21,65.0,0.52,1.83,8.82,Moderate
Bengaluru,09-02-2019,68.68,123.42,11.64,40.49,37.69,16.47,1.25,6.19,55.17,0.58,2.2,8.82,Moderate
Bengaluru,10-02-2019,50.31,93.13,9.95,32.83,29.4,17.01,0.96,4.52,41.91,0.56,2.03,8.82,Moderate
Bengaluru,11-02-2019,41.65,78.53,10.0,28.6,26.17,15.25,0.81,4.04,37.69,0.43,1.37,8.82,Satisfactory
Bengaluru,12-02-2019,49.32,88.06,8.75,32.05,27.32,14.48,0.82,3.99,49.43,0.44,1.33,8.82,Satisfactory
Bengaluru,13-02-2019,47.31,92.86,9.72,34.53,30.98,15.25,0.9,4.75,52.51,0.46,1.1,8.82,Satisfactory
Bengaluru,14-02-2019,37.94,84.87,11.4,31.95,32.32,16.68,0.71,4.88,57.75,0.46,1.11,8.82,Satisfactory
Bengaluru,15-02-2019,35.35,92.27,9.65,32.12,32.59,17.04,0.87,4.08,59.52,0.63,1.75,8.82,Moderate
Bengaluru,16-02-2019,45.37,98.49,21.59,35.5,44.47,16.77,1.05,4.69,56.07,1.12,2.89,8.82,Moderate
Bengaluru,17-02-2019,47.43,108.7,23.61,33.19,44.8,17.77,0.99,4.15,62.98,1.23,2.91,8.82,Moderate
Bengaluru,18-02-2019,42.92,104.51,29.45,39.84,54.29,17.16,1.23,4.52,48.6,1.03,2.96,8.82,Moderate
Bengaluru,19-02-2019,44.28,98.5,8.09,33.16,30.1,18.13,0.95,4.52,50.9,0.53,1.93,8.82,Moderate
Bengaluru,20-02-2019,31.49,79.97,9.18,28.91,27.55,15.62,0.85,4.39,40.97,0.43,1.33,8.82,Satisfactory
Bengaluru,21-02-2019,36.4,92.9,14.06,35.7,36.91,12.47,0.96,5.06,41.82,0.48,1.57,8.82,Satisfactory
Bengaluru,22-02-2019,38.35,101.4,17.28,40.77,44.74,14.54,0.96,5.45,42.98,0.54,1.96,8.82,Satisfactory
Bengaluru,23-02-2019,51.36,113.03,23.78,50.05,56.96,15.39,1.03,5.53,43.98,1.92,5.95,8.82,Moderate
Bengaluru,24-02-2019,47.59,97.06,19.87,47.01,50.3,16.23,0.94,5.19,53.2,2.49,7.3,8.82,Moderate
Bengaluru,25-02-2019,39.23,96.15,23.3,46.39,53.87,16.7,1.0,6.12,55.66,2.28,7.46,8.82,Moderate
Bengaluru,26-02-2019,51.92,101.91,17.94,42.06,44.18,18.89,0.99,6.29,64.35,2.88,8.24,8.82,Moderate
Bengaluru,27-02-2019,45.49,94.03,10.11,33.49,32.28,18.55,0.93,4.45,58.28,2.05,6.43,8.82,Moderate
Bengaluru,28-02-2019,50.8,111.32,12.67,38.76,40.15,16.52,0.94,4.87,56.36,3.14,6.74,8.82,Moderate
Bengaluru,01-03-2019,58.18,125.3,13.52,44.64,44.92,19.94,1.05,4.93,53.3,3.44,10.62,8.82,Moderate
Bengaluru,02-03-2019,40.93,95.38,6.74,26.91,26.08,17.74,0.83,4.57,49.67,1.07,4.29,8.82,Moderate
Bengaluru,03-03-2019,36.98,92.75,7.87,30.74,30.01,15.49,0.86,4.87,55.58,1.18,4.21,8.82,Moderate
Bengaluru,04-03-2019,43.15,100.96,5.02,29.23,26.24,15.83,0.8,5.09,63.42,1.04,3.53,8.82,Moderate
Bengaluru,05-03-2019,49.8,112.83,12.78,31.26,33.34,15.93,1.11,4.2,56.77,1.48,4.44,8.82,Moderate
Bengaluru,06-03-2019,53.53,116.45,23.55,35.74,46.05,15.62,1.13,4.12,48.36,2.36,6.99,8.82,Moderate
Bengaluru,07-03-2019,65.98,158.87,41.22,47.25,71.78,17.42,1.44,6.25,39.54,3.82,10.92,8.82,Moderate
Bengaluru,08-03-2019,69.62,141.49,25.8,46.88,58.06,18.21,1.32,7.02,49.42,2.51,7.46,8.82,Moderate
Bengaluru,09-03-2019,51.08,114.17,6.55,27.19,26.56,18.98,1.01,5.51,56.41,1.92,5.91,8.82,Moderate
Bengaluru,10-03-2019,39.45,85.59,3.31,19.09,16.78,14.76,0.81,5.12,47.45,0.92,3.47,8.82,Satisfactory
Bengaluru,11-03-2019,34.4,79.55,4.31,21.93,19.58,13.93,0.75,6.11,55.52,0.79,3.12,8.82,Satisfactory
Bengaluru,12-03-2019,46.15,108.89,6.44,27.97,26.33,15.19,0.8,8.64,67.73,0.88,3.55,8.82,Moderate
Bengaluru,13-03-2019,50.05,120.17,9.24,34.27,33.73,15.2,0.89,9.55,59.27,1.09,4.04,8.82,Moderate
Bengaluru,14-03-2019,43.73,116.74,8.61,29.7,32.81,14.79,0.73,6.55,65.46,0.9,3.55,8.82,Moderate
Bengaluru,15-03-2019,41.75,110.46,8.41,35.68,35.5,14.38,0.89,6.12,54.19,1.01,4.1,8.82,Moderate
Bengaluru,16-03-2019,44.32,118.8,12.34,38.3,37.28,16.05,0.94,5.15,47.32,1.25,4.25,8.82,Moderate
Bengaluru,17-03-2019,45.56,104.35,8.28,34.1,29.69,15.63,0.87,5.01,66.57,1.19,4.14,8.82,Moderate
Bengaluru,18-03-2019,43.24,99.47,5.41,31.64,24.96,16.24,0.8,5.61,67.48,1.05,3.83,8.82,Moderate
Bengaluru,19-03-2019,39.71,94.23,6.67,30.9,26.76,16.07,0.82,5.13,59.72,0.93,3.86,8.82,Moderate
Bengaluru,20-03-2019,39.8,91.98,6.79,27.36,22.43,15.0,0.73,5.7,57.62,0.97,4.09,8.82,Moderate
Bengaluru,21-03-2019,49.74,94.78,5.97,27.84,21.97,15.24,0.87,5.44,61.82,1.12,4.17,8.82,Moderate
Bengaluru,22-03-2019,44.52,96.39,7.16,30.85,24.89,15.54,0.94,6.86,59.05,1.38,4.47,8.82,Moderate
Bengaluru,23-03-2019,51.6,102.51,6.71,34.12,27.54,15.49,0.97,5.8,58.37,1.33,4.96,8.82,Moderate
Bengaluru,24-03-2019,47.42,93.06,5.81,28.12,23.65,14.79,0.84,6.92,64.14,0.98,3.78,8.82,Moderate
Bengaluru,25-03-2019,46.52,105.51,8.2,34.13,30.32,15.64,0.84,7.66,49.93,1.07,4.35,8.82,Satisfactory
Bengaluru,26-03-2019,48.85,112.26,10.0,39.23,36.32,15.4,0.93,7.29,57.9,1.07,4.35,8.82,Moderate
Bengaluru,27-03-2019,56.52,121.14,12.4,40.26,38.77,14.3,1.08,6.91,55.64,1.24,4.33,8.82,Moderate
Bengaluru,28-03-2019,61.59,129.96,14.08,47.4,45.48,14.75,1.17,6.72,51.02,1.69,5.78,8.82,Moderate
Bengaluru,29-03-2019,58.92,129.31,11.08,40.64,39.27,16.13,1.14,5.4,62.38,1.7,5.05,8.82,Moderate
Bengaluru,30-03-2019,57.09,123.2,10.17,38.21,35.11,16.53,1.15,4.89,54.03,1.45,5.22,8.82,Moderate
Bengaluru,31-03-2019,55.88,107.85,6.77,32.37,26.85,17.21,0.9,4.68,52.26,1.17,3.9,8.82,Moderate
Bengaluru,01-04-2019,53.46,110.5,11.03,35.35,32.36,16.31,1.01,4.73,49.03,1.21,3.68,8.82,Moderate
Bengaluru,02-04-2019,55.62,123.38,21.63,40.91,46.62,17.78,1.03,5.37,46.15,1.43,4.62,8.82,Moderate
Bengaluru,03-04-2019,53.61,120.13,13.21,40.06,39.47,17.27,0.94,4.96,54.26,1.57,5.0,8.82,Moderate
Bengaluru,04-04-2019,58.15,108.63,9.22,32.87,32.36,17.41,0.94,6.16,50.92,0.93,3.94,8.82,Moderate
Bengaluru,05-04-2019,46.54,108.25,13.01,37.85,39.93,16.31,1.07,5.22,53.59,1.62,4.05,8.82,Moderate
Bengaluru,06-04-2019,46.55,112.08,7.85,32.46,30.73,16.86,0.95,4.83,64.46,1.33,4.7,8.82,Moderate
Bengaluru,07-04-2019,51.73,103.64,7.95,32.1,30.27,16.3,0.98,4.86,68.41,1.26,3.98,8.82,Moderate
Bengaluru,08-04-2019,52.79,94.86,9.66,34.46,32.46,17.15,0.95,5.66,59.17,1.5,5.02,8.82,Moderate
Bengaluru,09-04-2019,43.88,90.8,9.09,33.09,30.96,19.14,1.09,5.07,66.47,1.49,5.16,8.82,Moderate
Bengaluru,10-04-2019,52.18,107.04,9.84,36.58,32.08,18.58,1.13,4.99,45.42,1.36,4.34,8.82,Moderate
Bengaluru,11-04-2019,49.25,113.7,9.52,34.41,30.94,21.22,0.89,5.76,40.76,1.21,4.38,8.82,Moderate
Bengaluru,12-04-2019,49.46,109.0,9.95,36.1,33.74,18.23,0.95,5.41,51.55,1.66,4.28,8.82,Moderate
Bengaluru,13-04-2019,47.24,98.37,7.1,30.69,28.27,17.8,0.92,7.4,52.04,0.96,3.18,8.82,Moderate
Bengaluru,14-04-2019,41.74,89.76,6.27,27.4,25.14,15.09,0.78,8.4,56.7,0.26,1.34,8.82,Moderate
Bengaluru,15-04-2019,52.38,92.14,8.34,33.83,31.72,15.92,1.04,7.56,54.29,0.53,2.26,8.82,Moderate
Bengaluru,16-04-2019,40.54,94.39,9.56,33.94,32.87,15.47,0.99,5.95,51.67,0.83,2.61,8.82,Moderate
Bengaluru,17-04-2019,52.84,97.64,11.81,31.76,33.1,17.54,1.16,5.09,38.4,0.99,2.96,8.82,Moderate
Bengaluru,18-04-2019,46.1,72.34,12.61,32.17,31.8,17.34,1.09,4.1,47.27,0.93,3.21,8.82,Moderate
Bengaluru,19-04-2019,42.33,63.83,6.84,29.02,25.65,18.08,0.9,4.55,47.03,0.64,2.55,8.82,Moderate
Bengaluru,20-04-2019,29.75,73.46,7.33,31.84,28.96,16.99,1.02,5.28,55.89,0.74,2.63,8.82,Moderate
Bengaluru,21-04-2019,25.18,69.39,6.37,32.67,27.82,15.03,1.04,4.9,56.53,0.7,2.32,8.82,Moderate
Bengaluru,22-04-2019,40.9,92.48,8.46,31.25,29.57,19.12,1.1,4.83,45.27,0.78,2.64,8.82,Moderate
Bengaluru,23-04-2019,37.08,77.31,7.76,32.12,28.78,16.05,1.31,4.42,57.49,0.81,2.48,8.82,Moderate
Bengaluru,24-04-2019,42.76,85.7,6.94,33.95,29.39,16.2,1.22,4.37,53.21,0.96,2.82,8.82,Moderate
Bengaluru,25-04-2019,57.96,109.49,8.23,36.31,32.06,16.84,1.19,5.35,54.27,0.84,3.48,8.82,Moderate
Bengaluru,26-04-2019,63.83,109.42,5.79,33.66,27.21,18.21,1.08,4.45,57.17,0.74,2.89,8.82,Moderate
Bengaluru,27-04-2019,66.34,123.11,7.59,29.77,27.39,17.39,0.84,4.97,61.68,0.37,1.79,8.82,Moderate
Bengaluru,28-04-2019,61.63,117.36,6.47,30.6,28.62,17.46,1.0,5.76,53.79,0.76,2.52,8.82,Moderate
Bengaluru,29-04-2019,62.42,108.27,6.84,30.05,27.53,18.56,0.95,4.5,50.57,0.89,2.92,8.82,Moderate
Bengaluru,30-04-2019,53.78,94.01,6.44,23.6,26.58,17.41,0.92,3.88,60.14,0.42,1.75,8.82,Moderate
Bengaluru,01-05-2019,42.75,74.84,7.54,21.81,23.34,15.57,0.99,4.72,55.94,0.23,1.31,8.82,Moderate
Bengaluru,02-05-2019,46.45,102.47,12.06,21.41,27.32,14.92,0.86,4.34,46.73,0.29,1.19,8.82,Moderate
Bengaluru,03-05-2019,47.56,95.06,8.56,22.23,25.52,17.29,0.74,4.43,48.84,0.41,1.52,8.82,Moderate
Bengaluru,04-05-2019,56.62,116.59,7.6,25.08,26.34,18.79,0.85,3.67,51.98,0.93,2.48,8.82,Moderate
Bengaluru,05-05-2019,54.62,110.84,6.9,26.36,25.65,16.93,0.8,4.21,61.04,1.03,2.36,8.82,Moderate
Bengaluru,06-05-2019,52.76,106.65,7.47,27.54,27.94,17.25,0.8,4.03,66.44,1.17,3.0,8.82,Moderate
Bengaluru,07-05-2019,42.61,87.52,10.42,23.95,27.32,16.41,0.86,4.63,47.19,0.94,2.56,8.82,Moderate
Bengaluru,08-05-2019,33.28,81.91,10.92,25.0,25.5,15.29,0.88,4.16,34.37,1.17,3.77,8.82,Satisfactory
Bengaluru,09-05-2019,51.42,94.86,17.94,30.32,35.49,19.28,1.36,4.4,37.92,1.75,4.89,8.82,Moderate
Bengaluru,10-05-2019,39.33,93.68,8.88,29.13,27.99,18.45,0.94,4.23,49.37,1.31,3.94,8.82,Moderate
Bengaluru,11-05-2019,40.38,93.84,6.49,27.17,24.4,17.05,0.97,3.64,48.35,1.08,3.39,8.82,Moderate
Bengaluru,12-05-2019,34.41,93.08,9.18,26.85,28.06,16.1,1.06,4.01,41.87,0.85,2.76,8.82,Moderate
Bengaluru,13-05-2019,32.08,86.2,5.34,25.1,22.24,13.94,0.91,4.11,50.16,1.28,2.96,8.82,Moderate
Bengaluru,14-05-2019,31.91,88.8,6.66,24.31,24.52,15.95,0.92,5.41,50.77,1.18,2.57,8.82,Satisfactory
Bengaluru,15-05-2019,33.89,81.23,7.43,24.45,25.03,16.03,1.01,4.29,38.96,0.78,2.4,8.82,Satisfactory
Bengaluru,16-05-2019,38.93,93.74,12.36,34.47,36.97,16.51,1.23,3.69,44.94,1.17,3.7,8.82,Moderate
Bengaluru,17-05-2019,40.64,91.59,14.27,32.51,36.02,17.39,1.19,4.17,36.64,1.42,4.56,8.82,Moderate
Bengaluru,18-05-2019,55.14,118.1,13.73,35.15,35.89,19.2,1.19,4.54,43.17,2.25,5.25,8.82,Moderate
Bengaluru,19-05-2019,51.35,101.63,8.15,27.75,25.63,18.52,0.97,3.86,45.7,1.4,3.42,8.82,Moderate
Bengaluru,20-05-2019,46.82,105.55,8.15,29.22,28.8,18.13,1.06,4.83,40.95,1.14,3.22,8.82,Moderate
Bengaluru,21-05-2019,45.3,93.68,5.1,26.31,23.99,16.95,0.88,4.25,51.87,0.92,1.58,8.82,Moderate
Bengaluru,22-05-2019,40.4,84.74,9.12,28.98,30.39,16.3,1.11,5.69,62.73,1.2,1.31,8.82,Moderate
Bengaluru,23-05-2019,43.26,97.98,12.96,34.61,35.36,17.81,1.04,3.95,34.01,1.43,2.94,8.82,Moderate
Bengaluru,24-05-2019,35.93,75.5,6.87,27.67,26.04,16.8,0.89,5.29,51.84,0.85,2.59,8.82,Satisfactory
Bengaluru,25-05-2019,26.07,71.31,6.76,25.34,25.38,15.38,0.79,5.0,54.83,0.56,1.99,8.82,Satisfactory
Bengaluru,26-05-2019,22.5,49.25,5.26,26.04,23.18,13.51,0.69,3.85,65.11,0.49,1.73,8.82,Satisfactory
Bengaluru,27-05-2019,25.77,59.78,8.57,32.49,30.96,16.1,0.94,4.44,60.35,0.78,2.67,8.82,Satisfactory
Bengaluru,28-05-2019,38.91,84.93,7.84,25.31,25.24,16.8,0.92,4.07,51.83,0.93,2.9,8.82,Satisfactory
Bengaluru,29-05-2019,28.66,62.28,5.08,24.99,22.09,15.5,0.75,4.82,82.31,0.82,2.12,8.82,Moderate
Bengaluru,30-05-2019,35.18,77.36,5.72,22.93,22.95,14.98,0.79,3.96,64.17,1.18,1.88,8.82,Satisfactory
